Filename,CID,Job ID,Status,Created,Deal State,Deal Message,Piece CID,Miner
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqetrpfimylcssa73dcfbu7j2c6xss45aesex2kirkjwoedjqptcka,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqetrpfimylcssa73dcfbu7j2c6xss45aesex2kirkjwoedjqptcka,f022308
deplatformr-open-images-359.tar,QmSFonGuWvGwPE2f7Zy5Bkst2RaGfN1sqkDjA1oSJGru5e,e3c72cef-8815-4e14-a936-b2baac5a956d,JOB_STATUS_EXECUTING,2020-11-13 20:05:13
,,,,,StorageDealError,"sending proposal to storage provider failed: exhausted 5 attempts but failed to open stream, err: protocol not supported",baga6ea4seaqfltq2dtlkljx7lw34tfymfqon7pglly2g5uwnmbebkkwxi4psafq,f02665
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqfltq2dtlkljx7lw34tfymfqon7pglly2g5uwnmbebkkwxi4psafq,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqfltq2dtlkljx7lw34tfymfqon7pglly2g5uwnmbebkkwxi4psafq,f022308
deplatformr-open-images-269.tar,QmZtRcmqX7UrfX4zztrdCU2si5qT77ifAY7WYrNoX5euK9,1062c34c-f0c7-47ea-af06-038bd9ac6178,JOB_STATUS_EXECUTING,2020-11-26 01:37:08
deplatformr-open-images-244.tar,QmTfkoyn982dV7ETTmuUocVbsdbcpVGx9dwCAoEBX2RKb4,0700e09b-682d-4130-acfc-b8acde314bba,JOB_STATUS_EXECUTING,2020-11-06 04:08:25
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqfdiev73tzwuzw3hc3etqi54hqp4iu7pgti4udrmvohpnmk3we2mq,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqfdiev73tzwuzw3hc3etqi54hqp4iu7pgti4udrmvohpnmk3we2mq,f022308
,,,,,StorageDealError,"sending proposal to storage provider failed: exhausted 5 attempts but failed to open stream, err: protocol not supported",baga6ea4seaqfdiev73tzwuzw3hc3etqi54hqp4iu7pgti4udrmvohpnmk3we2mq,f02665
deplatformr-open-images-245.tar,QmXHNC36RkUtRr29TZmE9AWDDXvCA5sRgyZWzUp8tw6fR2,7585aa20-b82f-4a76-bbc8-d920af76f100,JOB_STATUS_EXECUTING,2020-11-19 22:18:45
,,,,,StorageDealActive,,baga6ea4seaqocbzeuuqecrilhwbitvyeu5654hzsusiin3k6yv3xhij4xkolkiq,f022352
,,,,,StorageDealStartDataTransfer,,baga6ea4seaqocbzeuuqecrilhwbitvyeu5654hzsusiin3k6yv3xhij4xkolkiq,f02665
