f033511 |            500000000 |            256 |    158004 | 1158004  
f020378 |            100000000 |            256 |    160947 |  247347  
f019243 |            500000000 |            256 |    147560 | 1147560  
f033189 |             10000000 |            256 |    156416 |  242816  
f023495 |         100000000000 |            256 |    148070 | 1199270  
f023662 |      152177800000000 |      268435456 |    160350 |  246750  
f010617 |          10000000000 |      134217728 |    152126 |  238526  
f015734 |            500000000 |            256 |    145997 | 1145997  
f020398 |                    1 |            256 |    158812 |  245212  
f08285  |            500000000 |            256 |    160879 |  247279  
f019824 |         100000000000 |            256 |    148800 |  235200  
f02620  |          30000000000 |      536870912 |    157931 |  244331  
f07990  |         100000000000 |            256 |    148128 | 1199328  
f010241 |         100000000000 |            256 |    153173 | 1204373  
f01277  |           1000000000 |            256 |    155241 |  241641  
f03344  |            500000000 |            256 |    140107 | 1140107  
f07919  |  4089650035136921600 |      134217728 |    149245 |  235645  
f010523 |            500000000 |            256 |    141725 | 1141725  
f035436 |            500000000 |            256 |    151703 | 1151703  
f03339  |          10000000000 |            256 |    159354 |  245754  
f03274  |         100000000000 |            256 |    148031 | 1199231  
f02619  |          10000000000 |      134217728 |    159539 |  245939  
f010253 |         100000000000 |            256 |    148060 | 1199260  
f03345  |         100000000000 |            256 |    140066 | 1191266  
f02514  |         100000000000 |            256 |    147984 | 1199184  
f010247 |            100000000 |            256 |    157000 | 1208200  
f01152  |            100000000 |            256 |    151114 |  237514  
f024085 |      152177800000000 |      268435456 |    160350 |  246750  
f03176  |            100000000 |            256 |    155974 | 1207174  
f010493 |            500000000 |            256 |    148222 | 1148222  
f07819  |            500000000 |            256 |    159472 | 1159472  
f03362  |            500000000 |            256 |    139920 | 1139920  
f09569  |          50000000000 |      134217728 |    157181 |  243581  
f014569 |            500000000 |            256 |    156882 | 1156882  
f022922 |            500000000 |            256 |    153132 | 1153132  
f020385 |         100000000000 |            256 |    159795 | 1210995  
f019104 |         100000000000 |      134217728 |    160440 |  246840  
f03491  |         100000000000 |            256 |    148119 | 1199319  
f010558 |            500000000 |            256 |    159282 | 1159282  
f03364  |            500000000 |            256 |    157747 | 1157747  
f020541 |            500000000 |            256 |    160052 | 1160052  
f08383  |         100000000000 |            256 |    157919 | 1209119  
f014327 |            500000000 |            256 |    152543 | 1152543  
f022130 |         100000000000 |            256 |    159235 |  245635  
f08264  |              1000000 |           1024 |    158938 |  245338  
f09642  |            500000000 |            256 |    147732 | 1147732  
f021255 |           1000000000 |      134217728 |    160549 |  246949  
f010405 |         100000000000 |      134217728 |    150848 |  237248  
f02388  |         500000000000 |        1048576 |    154834 |  241234  
f07850  |         100000000000 |            256 |    148022 | 1199222  
f08019  |         100000000000 |            256 |    150839 | 1202039  
f08482  |            500000000 |            256 |    140195 | 1140195  
f09605  |            500000000 |            256 |    155125 | 1155125  
f015927 |           2500000000 |        4194304 |    160785 |  247185  
f010048 |         100000000000 |            256 |    148180 |  234580  
f024511 |            500000000 |            256 |    152891 | 1152891  
f023858 |      152177800000000 |      268435456 |    160349 |  246749  
f023490 |                    0 |           1024 |    157073 |  243473  
f029524 |            500000000 |            256 |    160773 | 1160773  
f024007 |      152177800000000 |      268435456 |    160350 |  246750  
f022142 |            200000000 |         131072 |    154520 |  240920  
f023462 |                    0 |            256 |    158495 |  244895  
f014251 |            500000000 |            256 |    158857 | 1158857  
f08220  |  7015752310508748800 |            256 |    157499 |  243899  
f021714 |            100000000 |            256 |    148563 | 1199763  
f034258 |                  100 |            256 |    156157 |  242557  
f022261 |          10000000000 |           1024 |    159216 |  245616  
f09710  |            500000000 |            256 |    159874 | 1159874  
f09696  |         100000000000 |            256 |    148061 | 1199261  
f021525 |                    0 |            256 |    160899 | 1160899  
f01234  |          95000000000 |      268435456 |    151997 |  238397  
f040218 |            500000000 |            256 |    151295 | 1151295  
f010299 |            500000000 |            256 |    160995 | 1160995  
f023855 |      152177800000000 |      268435456 |    160350 |  246750  
f08091  |            100000000 |            256 |    148736 |  235136  
f030335 |            500000000 |            256 |    158595 | 1158595  
f022853 |            500000000 |            256 |    143026 | 1143026  
f02609  |            500000000 |            256 |    159912 | 1159912  
f01278  |           2000000000 |         102400 |    160467 |  246867  
